objective.1,ndcg@1,ndcg@3,ndcg@5,ndcg@10,w,pn
primary,0.5658263305322134,0.5613695197294921,0.5584354500696749,0.559826936079989,0.1,10
secondary,0.4788582099506469,0.4682385577719181,0.4678782637538359,0.4728177605253084,0.1,10
primary,0.5711284513805526,0.5593779089673488,0.5589123451211669,0.5606754166052549,0.1163265306122449,10
secondary,0.4815926370548219,0.4706500261366627,0.4677909291646692,0.4741487270507428,0.1163265306122449,10
primary,0.5707282913165271,0.5620480552341595,0.5589314503053487,0.5607445613524088,0.1326530612244898,10
secondary,0.4929971988795519,0.4791536134245091,0.4763587261323361,0.4800888405481195,0.1326530612244898,10
primary,0.5710284113645464,0.5603495860102753,0.5592653693427662,0.5606725524648941,0.1489795918367347,10
secondary,0.4817927170868349,0.4777014401902958,0.4779309493203584,0.4825390274151299,0.1489795918367347,10
primary,0.5691276510604246,0.5582402282205474,0.5560108992389408,0.5574288547963141,0.1653061224489796,10
secondary,0.4945978391356546,0.4801035773103099,0.4809792755920724,0.4864686291451646,0.1653061224489796,10
primary,0.5696778711484599,0.5572373570953356,0.5559792812097369,0.5585642433393613,0.1816326530612245,10
secondary,0.4943977591036417,0.4851149690963335,0.4853555337904258,0.4888898021065957,0.1816326530612245,10
primary,0.5744797919167671,0.5602972479435574,0.5561131599972702,0.5594972583541641,0.1979591836734694,10
secondary,0.5162064825930378,0.5020675403635202,0.5007835629482602,0.5003177494964195,0.1979591836734694,10
primary,0.5593237294917971,0.5538829991125644,0.5549269508335761,0.5559772820265693,0.2142857142857143,10
secondary,0.5176070428171271,0.5045027124659948,0.5032132982926669,0.5073574860198473,0.2142857142857143,10
primary,0.5767306922769113,0.5612389421963367,0.5560412457741896,0.557674984593042,0.2306122448979592,10
secondary,0.5212084833933578,0.5134896054152158,0.5105416201360453,0.5134041106710138,0.2306122448979592,10
primary,0.5638255302120851,0.557873378348654,0.5568789156380186,0.557952587493728,0.2469387755102041,10
secondary,0.5238095238095243,0.5171861339238462,0.5145957242748106,0.517952760776589,0.2469387755102041,10
primary,0.5682272909163669,0.553697119113245,0.555254589066302,0.5582772349895669,0.263265306122449,10
secondary,0.5294117647058828,0.5260778614068912,0.5261821987248115,0.5281582279543952,0.263265306122449,10
primary,0.5678271308523414,0.5585786381327719,0.5564300631740146,0.5563931038748702,0.2795918367346939,10
secondary,0.5502200880352147,0.5409636021025775,0.5372468643953676,0.5379810623867005,0.2795918367346939,10
primary,0.5760304121648663,0.5584309365560878,0.5550431288181649,0.554856080954642,0.2959183673469387,10
secondary,0.5622248899559831,0.5455150772829734,0.5469659464967391,0.5448741515669828,0.2959183673469387,10
primary,0.5710284113645464,0.5580013176950809,0.5546004186376251,0.5533397677867244,0.3122448979591837,10
secondary,0.5518207282913168,0.5404109880143841,0.5433908508932781,0.5435927692710845,0.3122448979591837,10
primary,0.5678271308523414,0.5517447364141945,0.5516746132735193,0.5516961843268136,0.3285714285714286,10
secondary,0.5558223289315731,0.5586413977621593,0.5578263488052618,0.5590459574312728,0.3285714285714286,10
primary,0.5667266906762711,0.5534784017055729,0.551070311118193,0.550575210308678,0.3448979591836735,10
secondary,0.564225690276111,0.5584988566688842,0.5573639490721136,0.5621726889733442,0.3448979591836735,10
primary,0.5669267707082839,0.5536996449624974,0.5523029911910479,0.5503777605399869,0.3612244897959183,10
secondary,0.5878351340536222,0.5701734317176058,0.5717752942399793,0.5753850348906778,0.3612244897959183,10
primary,0.5609243697478996,0.5462066153841368,0.5456107578144309,0.5479822981490838,0.3775510204081632,10
secondary,0.5946378551420578,0.5804077421111699,0.5806956825834919,0.5846453745258342,0.3775510204081632,10
primary,0.5544217687074834,0.543207177799245,0.5447779960607072,0.544629723641948,0.3938775510204082,10
secondary,0.6050420168067234,0.5858736465659214,0.5897638778091132,0.5967535053327304,0.3938775510204082,10
primary,0.5683273309323733,0.5446154525874539,0.5443003795869591,0.5470706382272171,0.4102040816326531,10
